bookmarkId,sid,name,type,mcidName,mcid,sido,sigungu,address,memo,folders,folderCount,mismatch,isMatched,created,px,py
373286971,11574559,용인시 평생학습관,place,교육,EDUCATION,경기,용인시,경기 용인시 수지구 문정로7번길 15,,내 장소,1,AVAILABLE,True,2021-05-31,127.0954805,37.3205391
368689448,1225075866,진원소우 동탄기산점,place,음식점,DINING,경기,화성시,경기 화성시 동탄지성로 339,,내 장소,1,AVAILABLE,True,2021-05-22,127.0494931,37.2235459
361036926,12038865,파라다이스호텔,place,숙박,ACCOMMODATION,전북,군산시,전북 군산시 조촌1길 21,,내 장소,1,AVAILABLE,True,2021-05-08,126.7337189,35.9691573
357380868,751294068,엠코스퀘어720,place,일반,GENERAL,서울,강남구,서울 강남구 언주로85길 14,,내 장소,1,AVAILABLE,True,2021-05-02,127.0419786,37.5012194
357269724,31186578,고기리막국수,place,음식점,DINING,경기,용인시,경기 용인시 수지구 이종무로 157,,내 장소,1,AVAILABLE,True,2021-05-01,127.0400912,37.3599967
352000813,1010525837,스멜츠,place,카페,CAFE,경기,광주시,경기 광주시 오포읍 신현로 103,,내 장소,1,AVAILABLE,True,2021-04-21,127.1584031,37.3603425
351877423,,경기도 광주시 오포읍 문형리 27-17,address,주소/위치,ADDRESS,경기도,광주시,경기도 광주시 오포읍 문형리 27-17,,내 장소,1,AVAILABLE,True,2021-04-21,127.19993,37.3575396
340272764,1991652381,칼리오페,place,카페,CAFE,경기,용인시,경기 용인시 처인구 성산로170번길 23-1,,내 장소,1,AVAILABLE,True,2021-03-28,127.1928371,37.2481399
339924124,11524347,서울밝은세상안과,place,생활/문화,LIFE_CULTURE,서울,강남구,서울 강남구 선릉로 823,,내 장소,1,AVAILABLE,True,2021-03-27,127.0394391,37.5255226
329354059,13173065,플러스실용음악학원,place,교육,EDUCATION,경기,용인시,경기 용인시 기흥구 한보라1로 60,,내 장소,1,AVAILABLE,True,2021-03-05,127.1075609,37.2503772
319598852,1579214852,유니버스트윈1차오피스텔,place,일반,GENERAL,경기,용인시,경기 용인시 처인구 명지로40번길 15-9,,내 장소,1,AVAILABLE,True,2021-02-11,127.1866466,37.231773
319595843,1545319286,고등어식당,place,음식점,DINING,경기,용인시,경기 용인시 처인구 동부로 817,,내 장소,1,AVAILABLE,True,2021-02-11,127.2766083,37.1889983
316121225,1076067554,fullof,place,음식점,DINING,경기,용인시,경기 용인시 처인구 명지로60번길 23-3,,내 장소,1,AVAILABLE,True,2021-02-02,127.1868479,37.2298852
298938858,19213957,계룡리슈빌스카이,place,일반,GENERAL,경기,수원시,경기 수원시 영통구 중부대로 604,,내 장소,1,AVAILABLE,True,2020-12-04,127.0813692,37.2675899
298512348,1070502342,모던224펜션,place,숙박,ACCOMMODATION,경기,가평군,경기 가평군 북면 가화로 1073-154,,내 장소,1,AVAILABLE,True,2020-12-03,127.5417899,37.8863671
297829462,18841588,한진로즈힐아파트,place,일반,GENERAL,서울,강남구,서울 강남구 도산대로46길 21,,내 장소,1,AVAILABLE,True,2020-12-01,127.03682,37.5208809
297827580,18839780,우민아파트,place,일반,GENERAL,서울,강남구,서울 강남구 언주로136길 21,,내 장소,1,AVAILABLE,True,2020-12-01,127.0373919,37.5178666
297825394,18808184,청담현대2차아파트,place,일반,GENERAL,서울,강남구,서울 강남구 선릉로 748,,내 장소,1,AVAILABLE,True,2020-12-01,127.0407663,37.5215554
297299698,19334155,장안위더스빌,place,일반,GENERAL,서울,동대문구,서울 동대문구 한천로 42,,내 장소,1,AVAILABLE,True,2020-11-30,127.0621798,37.5663632
297298718,18854384,동서울한양아파트,place,일반,GENERAL,서울,동대문구,서울 동대문구 답십리로 184,,내 장소,1,AVAILABLE,True,2020-11-30,127.0601741,37.5715766
297298605,18855553,답십리동아아파트,place,일반,GENERAL,서울,동대문구,서울 동대문구 한천로11길 10-1,,내 장소,1,AVAILABLE,True,2020-11-30,127.0618601,37.5692497
297298263,18798984,용답중앙하이츠아파트,place,일반,GENERAL,서울,성동구,서울 성동구 용답중앙27길 10,,내 장소,1,AVAILABLE,True,2020-11-30,127.0553038,37.5634398
294421729,1540200217,가치김밥,place,음식점,DINING,경기,용인시,경기 용인시 기흥구 갈곡로13번길 7,,내 장소,1,AVAILABLE,True,2020-11-22,127.1287221,37.2725917
294191665,1079106444,필아웃커피,place,카페,CAFE,경기,성남시,경기 성남시 분당구 벌말로39번길 9,,내 장소,1,AVAILABLE,True,2020-11-21,127.1372855,37.4114709
293256266,1091178790,펠어커피 강남포스코사거리점,place,카페,CAFE,서울,강남구,서울 강남구 삼성로85길 11,,내 장소,1,AVAILABLE,True,2020-11-19,127.0562683,37.5049005
292594736,1610695632,호시리온커피컴퍼니,place,카페,CAFE,경기,용인시,경기 용인시 기흥구 관곡로77번길 3-12,,내 장소,1,AVAILABLE,True,2020-11-17,127.1147158,37.282193
292134030,18707357,정은스카이빌아파트,place,일반,GENERAL,서울,중구,서울 중구 다산로 56,,내 장소,1,AVAILABLE,True,2020-11-17,127.0077625,37.5491667
291610703,18161487,덕현아파트,place,일반,GENERAL,경기,구리시,경기 구리시 장자대로37번길 55,,내 장소,1,AVAILABLE,True,2020-11-16,127.1336356,37.5906777
291610362,18160612,구리한양우성아파트,place,일반,GENERAL,경기,구리시,경기 구리시 체육관로 45,,내 장소,1,AVAILABLE,True,2020-11-16,127.1369544,37.5890405
290592856,34590424,진대감 선릉점,place,음식점,DINING,서울,강남구,서울 강남구 테헤란로70길 25,,내 장소,1,AVAILABLE,True,2020-11-13,127.0539875,37.5040167
289403435,1549695497,고등호반써밋판교밸리아파트,place,일반,GENERAL,경기,성남시,경기 성남시 수정구 고등로 34,,내 장소,1,AVAILABLE,True,2020-11-11,127.0967367,37.4290999
288068089,18773949,마장동대성유니드아파트,place,일반,GENERAL,서울,성동구,서울 성동구 마장로37길 7,,내 장소,1,AVAILABLE,True,2020-11-08,127.0383632,37.5670165
286729826,18771584,성동삼성쉐르빌아파트,place,일반,GENERAL,서울,성동구,서울 성동구 무학로6길 50,,내 장소,1,AVAILABLE,True,2020-11-05,127.034979,37.5644041
286727838,18773173,마장동현대아파트,place,일반,GENERAL,서울,성동구,서울 성동구 살곶이길 50,,내 장소,1,AVAILABLE,True,2020-11-05,127.0424942,37.5699325
281575570,18779821,금호동벽산아파트,place,일반,GENERAL,서울,성동구,서울 성동구 금호로 100,,내 장소,1,AVAILABLE,True,2020-10-25,127.0267385,37.552717
279915497,11663984,부석사,place,여행,TRAVEL,경북,영주시,경북 영주시 부석면 부석사로 345,,내 장소,1,AVAILABLE,True,2020-10-21,128.6873224,36.9986008
279844100,32193924,현대필그린아파트,place,일반,GENERAL,경기,용인시,경기 용인시 기흥구 마북로 139,,내 장소,1,AVAILABLE,True,2020-10-20,127.1205535,37.3029832
279457420,18779320,응봉현대아파트,place,일반,GENERAL,서울,성동구,서울 성동구 독서당로 377,,내 장소,1,AVAILABLE,True,2020-10-19,127.0308868,37.551394
278717826,18784267,극동그린아파트,place,일반,GENERAL,서울,성동구,서울 성동구 독서당로 175,,내 장소,1,AVAILABLE,True,2020-10-18,127.00985,37.5419333
278341883,18782629,금호동대우아파트,place,일반,GENERAL,서울,성동구,서울 성동구 독서당로 272,,내 장소,1,AVAILABLE,True,2020-10-17,127.020388,37.546066
278340499,18781470,금호푸르지오1차아파트,place,일반,GENERAL,서울,성동구,서울 성동구 금호산8길 5,,내 장소,1,AVAILABLE,True,2020-10-17,127.0209544,37.5497212
278337019,18781409,금호동휴플러스한신아파트,place,일반,GENERAL,서울,성동구,서울 성동구 금호산길 27,,내 장소,1,AVAILABLE,True,2020-10-17,127.0181125,37.55005
278095723,18707196,남산타운아파트,place,일반,GENERAL,서울,중구,서울 중구 다산로 32,,내 장소,1,AVAILABLE,True,2020-10-16,127.0097435,37.5500494
277794941,18782154,금호브라운스톤아파트,place,일반,GENERAL,서울,성동구,서울 성동구 매봉길 24,,내 장소,1,AVAILABLE,True,2020-10-15,127.0154576,37.5468722
275197532,19030012,동작동금강KCC1차아파트,place,일반,GENERAL,서울,동작구,서울 동작구 동작대로39가길 55,,내 장소,1,AVAILABLE,True,2020-10-09,126.9783207,37.4942385
275197302,19032631,사당신동아아파트,place,일반,GENERAL,서울,동작구,서울 동작구 동작대로29길 110,,내 장소,1,AVAILABLE,True,2020-10-09,126.9781363,37.4901411
275196578,19033539,사당유니드아파트,place,일반,GENERAL,서울,동작구,서울 동작구 동작대로29길 195,,내 장소,1,AVAILABLE,True,2020-10-09,126.9753416,37.4933505
272594286,13390698,페삭,place,음식점,DINING,경기,성남시,경기 성남시 분당구 황새울로214번길 8,,내 장소,1,AVAILABLE,True,2020-10-02,127.1123053,37.3782752
272593961,36859687,두마레 한정식,place,음식점,DINING,경기,성남시,경기 성남시 분당구 구미로 191,,내 장소,1,AVAILABLE,True,2020-10-02,127.127719,37.344117
272428719,18440994,코오롱트리폴리스1차,place,일반,GENERAL,경기,성남시,경기 성남시 분당구 정자일로 1,,내 장소,1,AVAILABLE,True,2020-10-01,127.1054012,37.3509855
271073682,35678398,잠실매점,place,생활/문화,LIFE_CULTURE,서울,송파구,서울 송파구 올림픽로 269,,내 장소,1,AVAILABLE,True,2020-09-27,127.1013968,37.5141249
268953327,19367172,랜드하나평촌하나법학원,place,교육,EDUCATION,경기,안양시,경기 안양시 동안구 평촌대로211번길 16,,내 장소,1,AVAILABLE,True,2020-09-21,126.9550294,37.3903537
268924463,18787040,한양현대아파트,place,일반,GENERAL,서울,성동구,서울 성동구 상원1길 17,,내 장소,1,AVAILABLE,True,2020-09-21,127.0479673,37.5455356
268772445,18812518,쌍용플래티넘아파트,place,일반,GENERAL,서울,강남구,서울 강남구 봉은사로 474,,내 장소,1,AVAILABLE,True,2020-09-20,127.0519533,37.5123688
260145912,18722973,용산파크자이아파트,place,일반,GENERAL,서울,용산구,서울 용산구 한강대로 205,,내 장소,1,AVAILABLE,True,2020-08-21,126.9729276,37.536532
